"ATTRIBUTE_DatasetAccession","USI","file_path","scan_id","role","Cosine","Matching Peaks","Adduct","Precursor_MZ","inchikey_first_block","lib_spectrum","ChromatographyAndPhase","IonizationSourceAndPolarity","NCBITaxonomy","SampleType"
"MSV000085760","mzspec:MSV000085760:raw/mzXML/7374.mzXML:scan:887","raw/mzXML/7374.mzXML",887,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,"9606|Homo sapiens","animal"
"MSV000085607","mzspec:MSV000085607:peak/mzXML/Plate02/X2490051_RE3_01_55087.mzXML:scan:891","peak/mzXML/Plate02/X2490051_RE3_01_55087.mzXML",891,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581","reverse phase (C18)","electrospray ionization (positive)","9606|Homo sapiens","animal"
"MSV000085607","mzspec:MSV000085607:peak/mzXML/Plate02/X3023798_RC2_01_55052.mzXML:scan:887","peak/mzXML/Plate02/X3023798_RC2_01_55052.mzXML",887,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581","reverse phase (C18)","electrospray ionization (positive)","9606|Homo sapiens","animal"
"MSV000085724","mzspec:MSV000085724:ccms_peak/mzXML/Plate02/X2490051_RE3_01_55087.mzML:scan:891","ccms_peak/mzXML/Plate02/X2490051_RE3_01_55087.mzML",891,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581","reverse phase (C18)","electrospray ionization (positive)","9606|Homo sapiens","animal"
"MSV000085724","mzspec:MSV000085724:ccms_peak/mzXML/Plate02/X3023798_RC2_01_55052.mzML:scan:887","ccms_peak/mzXML/Plate02/X3023798_RC2_01_55052.mzML",887,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581","reverse phase (C18)","electrospray ionization (positive)","9606|Homo sapiens","animal"
"MSV000090443","mzspec:MSV000090443:peak/mzXML/plate2_2x/samples_extra/s67_repeat_BA8_01_51294.mzXML:scan:776","peak/mzXML/plate2_2x/samples_extra/s67_repeat_BA8_01_51294.mzXML",776,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000083955","mzspec:MSV000083955:ccms_peak/Phree Kit Plate/Samples/HMA445b_PhreeKit_RF4_01_42916.mzML:scan:767","ccms_peak/Phree Kit Plate/Samples/HMA445b_PhreeKit_RF4_01_42916.mzML",767,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000084591","mzspec:MSV000084591:ccms_peak/mzXML_plasma/samples/sample_39_RD7_01_49317.mzML:scan:888","ccms_peak/mzXML_plasma/samples/sample_39_RD7_01_49317.mzML",888,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000097935","mzspec:MSV000097935:peak/mzML/Plate7/Plate7_poolQC_7.mzML:scan:1248","peak/mzML/Plate7/Plate7_poolQC_7.mzML",1248,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000083955","mzspec:MSV000083955:ccms_peak/Plate 1 5x/Samples/LD9050_5X_rerun_RD4_01_42821.mzML:scan:752","ccms_peak/Plate 1 5x/Samples/LD9050_5X_rerun_RD4_01_42821.mzML",752,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000083593","mzspec:MSV000083593:ccms_peak/mzXML/samples/Plate_03_BB12_01_21660.mzML:scan:765","ccms_peak/mzXML/samples/Plate_03_BB12_01_21660.mzML",765,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000083955","mzspec:MSV000083955:ccms_peak/Phree Kit Plate/Samples/LD9050_PhreeKit_RD4_01_42887.mzML:scan:766","ccms_peak/Phree Kit Plate/Samples/LD9050_PhreeKit_RD4_01_42887.mzML",766,"parent",1,6,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000084908","mzspec:MSV000084908:ccms_peak/Serum_mzXML/Serum_151A_GC5_01_50422.mzML:scan:1623","ccms_peak/Serum_mzXML/Serum_151A_GC5_01_50422.mzML",1623,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000097935","mzspec:MSV000097935:peak/mzML/Plate9/P9_C5_01LJ03719_V12.mzML:scan:1330","peak/mzML/Plate9/P9_C5_01LJ03719_V12.mzML",1330,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000085607","mzspec:MSV000085607:peak/mzXML/Plate02/X3074166_RA11_01_55030.mzXML:scan:900","peak/mzXML/Plate02/X3074166_RA11_01_55030.mzXML",900,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581","reverse phase (C18)","electrospray ionization (positive)","9606|Homo sapiens","animal"
"MSV000085724","mzspec:MSV000085724:ccms_peak/mzXML/Plate02/X3074166_RA11_01_55030.mzML:scan:900","ccms_peak/mzXML/Plate02/X3074166_RA11_01_55030.mzML",900,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581","reverse phase (C18)","electrospray ionization (positive)","9606|Homo sapiens","animal"
"MSV000097935","mzspec:MSV000097935:ccms_peak/mzML/Plate9/P9_C5_01LJ03719_V12.mzML:scan:1330","ccms_peak/mzML/Plate9/P9_C5_01LJ03719_V12.mzML",1330,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,"9606|Homo sapiens","animal"
"MSV000079788","mzspec:MSV000079788:ccms_peak/Human_GITract_aqueous_renamed_mzxml_march2016/02A10049_AQUEOUS.mzXML:scan:891","ccms_peak/Human_GITract_aqueous_renamed_mzxml_march2016/02A10049_AQUEOUS.mzXML",891,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000079788","mzspec:MSV000079788:ccms_peak/Human_GITract_aqueous_renamed_mzxml_march2016/02F10049_AQUEOUS.mzXML:scan:897","ccms_peak/Human_GITract_aqueous_renamed_mzxml_march2016/02F10049_AQUEOUS.mzXML",897,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
"MSV000097935","mzspec:MSV000097935:peak/mzML/Plate5/P5_D1_01LJ03734_V5.mzML:scan:1318","peak/mzML/Plate5/P5_D1_01LJ03734_V5.mzML",1318,"parent",1,7,"[M+H]1+",346.12,"SUBDBMMJDZJVOS","CCMSLIB00000081581",NA,NA,NA,NA
