Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Guard column]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
1	Extraction	NA	sylilation	1	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	1	NA	Data transformation	1	FILES/COVID-19/1.mzML	Metabolite identification	1	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
41	Extraction	NA	sylilation	41	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	41	NA	Data transformation	41	FILES/COVID-19/41.mzML	Metabolite identification	41	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
101	Extraction	NA	sylilation	101	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	101	NA	Data transformation	101	FILES/COVID-19/101.mzML	Metabolite identification	101	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
62	Extraction	NA	sylilation	62	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	62	NA	Data transformation	62	FILES/COVID-19/62.mzML	Metabolite identification	62	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
104	Extraction	NA	sylilation	104	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	104	NA	Data transformation	104	FILES/COVID-19/104.mzML	Metabolite identification	104	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
66	Extraction	NA	sylilation	66	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	66	NA	Data transformation	66	FILES/COVID-19/66.mzML	Metabolite identification	66	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
106	Extraction	NA	sylilation	106	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	106	NA	Data transformation	106	FILES/COVID-19/106.mzML	Metabolite identification	106	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
67	Extraction	NA	sylilation	67	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	67	NA	Data transformation	67	FILES/COVID-19/67.mzML	Metabolite identification	67	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
108	Extraction	NA	sylilation	108	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	108	NA	Data transformation	108	FILES/COVID-19/108.mzML	Metabolite identification	108	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
68	Extraction	NA	sylilation	68	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	68	NA	Data transformation	68	FILES/COVID-19/68.mzML	Metabolite identification	68	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
