"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file","source_file","chrom_type","assay","mz_theo","mz_ppm_dev"
"MSV000088255","parent",2,1,0.56,1,0.992,-4.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",240.979,346.122196634463,"[M+H]+","Urine_NGS124_FragPos.mzML","Urine_NGS124_FragPos.mzML","RP","MSV000088255",346.121988468,0.601425133262825
"MSV000088255","metabolite",1,1,0.819,3,0.91,-34.7,"[M + H]+",NA,TRUE,"standard",337.392,362.116630432207,"[M+H]+","Urine_NGS017_FragPos.mzML","Urine_NGS017_FragPos.mzML","RP","MSV000088255",362.116903088,-0.752949643335687
"MSV000088255","metabolite",3,1,0.858,3,0.924,-30.2,"[M + H]+",NA,TRUE,"standard",256.278,362.11674852524,"[M+H]+","Urine_NGS056_FragPos.mzML","Urine_NGS056_FragPos.mzML","RP","MSV000088255",362.116903088,-0.426831110927799
"MSV000088255","metabolite",4,1,0.914,3,0.924,-31.9,"[M + H]+",NA,TRUE,"standard",264.953,362.116678205845,"[M+H]+","Urine_NGS093_FragPos.mzML","Urine_NGS093_FragPos.mzML","RP","MSV000088255",362.116903088,-0.621020872243181
"MSV000088255","metabolite",5,1,0.92,3,0.924,-28.8,"[M + H]+",NA,TRUE,"standard",309.541,362.116653003535,"[M+H]+","Urine_NGS098_FragPos.mzML","Urine_NGS098_FragPos.mzML","RP","MSV000088255",362.116903088,-0.6906180376055
"MSV000088255","metabolite",6,1,0.923,3,0.902,-34.6,"[M + H]+",NA,TRUE,"standard",260.882,362.12,"[M+H]+","Urine_NGS110_FragPos.mzML","Urine_NGS110_FragPos.mzML","RP","MSV000088255",362.116903088,8.55224369141619
"MSV000088255","metabolite",7,1,0.901,3,0.91,-30.6,"[M + H]+",NA,TRUE,"standard",292.566,362.116859665227,"[M+H]+","Urine_NGS124_FragPos.mzML","Urine_NGS124_FragPos.mzML","RP","MSV000088255",362.116903088,-0.119913687042636
"MSV000088255","metabolite",8,1,0.912,3,0.917,-28.2,"[M + H]+",NA,TRUE,"standard",268.586,362.12,"[M+H]+","Urine_NGS128_FragPos.mzML","Urine_NGS128_FragPos.mzML","RP","MSV000088255",362.116903088,8.55224369141619
"MSV000088255","metabolite",9,1,0.522,3,0.917,-29.9,"[M + H]+",NA,TRUE,"standard",289.752,362.116723025202,"[M+H]+","Urine_NGS135_FragPos.mzML","Urine_NGS135_FragPos.mzML","RP","MSV000088255",362.116903088,-0.497250463756709
"MSV000088255","metabolite",10,1,0.792,3,0.924,-31.5,"[M + H]+",NA,TRUE,"standard",305.554,362.11665276094,"[M+H]+","Urine_NGS142_FragPos.mzML","Urine_NGS142_FragPos.mzML","RP","MSV000088255",362.116903088,-0.691287973290763
