"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"MSV000085256","parent",1,1,0.364,1,0.857,-40.4,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",193.369,368.104026896424,"[M+Na]+","424_Plasma.mzML"
"MSV000088255","parent",2,1,0.56,1,0.992,-4.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",240.979,346.122196634463,"[M+H]+","Urine_NGS124_FragPos.mzML"
"MSV000088255","parent",1,2,0.241,1,0.976,-10.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",249.026,346.121944834735,"[M+H]+","Urine_NGS098_FragPos.mzML"
"MSV000088255","metabolite",1,1,0.819,3,0.91,-34.7,"[M + H]+",NA,TRUE,"standard",337.392,362.116630432207,"[M+H]+","Urine_NGS017_FragPos.mzML"
"MSV000088255","metabolite",3,1,0.858,3,0.924,-30.2,"[M + H]+",NA,TRUE,"standard",256.278,362.11674852524,"[M+H]+","Urine_NGS056_FragPos.mzML"
"MSV000088255","metabolite",4,1,0.914,3,0.924,-31.9,"[M + H]+",NA,TRUE,"standard",264.953,362.116678205845,"[M+H]+","Urine_NGS093_FragPos.mzML"
"MSV000088255","metabolite",5,1,0.92,3,0.924,-28.8,"[M + H]+",NA,TRUE,"standard",309.541,362.116653003535,"[M+H]+","Urine_NGS098_FragPos.mzML"
"MSV000088255","metabolite",6,1,0.923,3,0.902,-34.6,"[M + H]+",NA,TRUE,"standard",260.882,362.12,"[M+H]+","Urine_NGS110_FragPos.mzML"
"MSV000088255","metabolite",7,1,0.901,3,0.91,-30.6,"[M + H]+",NA,TRUE,"standard",292.566,362.116859665227,"[M+H]+","Urine_NGS124_FragPos.mzML"
"MSV000088255","metabolite",8,1,0.912,3,0.917,-28.2,"[M + H]+",NA,TRUE,"standard",268.586,362.12,"[M+H]+","Urine_NGS128_FragPos.mzML"
"MSV000088255","metabolite",9,1,0.522,3,0.917,-29.9,"[M + H]+",NA,TRUE,"standard",289.752,362.116723025202,"[M+H]+","Urine_NGS135_FragPos.mzML"
"MSV000088255","metabolite",10,1,0.792,3,0.924,-31.5,"[M + H]+",NA,TRUE,"standard",305.554,362.11665276094,"[M+H]+","Urine_NGS142_FragPos.mzML"
"MSV000092754","parent",1,1,0.971,1,0.992,-5.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",212.683,346.121525998551,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"MSV000092754","parent",3,1,0.986,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",208.984,346.121423776955,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"MSV000092754","parent",4,1,0.92,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",213.131,346.12168259103,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"MSV000092754","parent",9,1,0.947,1,1,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",202.59,346.121317253714,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"MSV000092754","parent",6,3,0,1,0.96,-58.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",211.797,346.121398925781,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"MSV000092754","parent",11,3,0,1,0.913,-78.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",202.973,346.12158203125,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"MSV000092754","metabolite",3,1,0.692,2,0.932,-25.1,"[M + H]+",NA,TRUE,"standard",207.29,362.116663582679,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"MSV000092754","metabolite",20,1,0.776,2,0.924,-29.5,"[M + H]+",NA,TRUE,"standard",200.462,362.116360205988,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"MSV000092754","metabolite",1,1,0.388,3,0.895,-40.8,"[M + H]+",NA,TRUE,"standard",111.332,362.116199562346,"[M+H]+","pos_inf_prog_10199_Female_68_267_R_A8.mzXML"
"MSV000092754","metabolite",2,1,0.954,3,0.932,-25.5,"[M + H]+",NA,TRUE,"standard",195.855,362.116311580717,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"MSV000092754","metabolite",4,1,0.97,3,0.902,-37,"[M + H]+",NA,TRUE,"standard",234.802,362.11637707669,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"MSV000092754","metabolite",5,1,0.751,3,0.869,-51.7,"[M + H]+",NA,TRUE,"standard",246.777,362.116142380323,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"MSV000092754","metabolite",7,1,0.866,3,0.932,-24.9,"[M + H]+",NA,TRUE,"standard",199.552,362.116280132345,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"MSV000092754","metabolite",8,1,0.988,3,0.895,-34.4,"[M + H]+",NA,TRUE,"standard",231.989,362.115938052624,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"MSV000092754","metabolite",9,1,0.957,3,0.861,-85.1,"[M + H]+",NA,TRUE,"standard",242.7,362.116190159506,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"MSV000092754","metabolite",10,1,0.925,3,0.932,-25.2,"[M + H]+",NA,TRUE,"standard",194.764,362.116326959146,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"MSV000092754","metabolite",12,1,0.828,3,0.869,-78.2,"[M + H]+",NA,TRUE,"standard",246.456,362.116157028898,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"MSV000092754","metabolite",13,1,0.98,3,0.932,-26,"[M + H]+",NA,TRUE,"standard",191.28,362.116253029732,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"MSV000092754","metabolite",14,1,0.769,3,0.924,-28.2,"[M + H]+",NA,TRUE,"standard",204.356,362.116475374369,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"MSV000092754","metabolite",15,1,0.942,3,0.902,-38.3,"[M + H]+",NA,TRUE,"standard",234.11,362.116177809733,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"MSV000092754","metabolite",17,1,0.95,3,0.924,-25.4,"[M + H]+",NA,TRUE,"standard",196.435,362.116394811586,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"MSV000092754","metabolite",18,1,0.631,3,0.869,-61,"[M + H]+",NA,TRUE,"standard",247.245,362.11615372326,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"MSV000092754","metabolite",21,1,0.85,3,0.896,-35.5,"[M + H]+",NA,TRUE,"standard",232.766,362.116282901436,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"MSV000092754","metabolite",22,1,0.656,3,0.869,-69,"[M + H]+",NA,TRUE,"standard",243.093,362.116176299141,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"MSV000092754","metabolite",23,1,0.968,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",192.937,362.116380659964,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"MSV000092754","metabolite",24,1,0.634,3,0.869,-72.9,"[M + H]+",NA,TRUE,"standard",244.961,362.116226737767,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"MSV000092754","metabolite",25,1,0.824,3,0.924,-26.2,"[M + H]+",NA,TRUE,"standard",185.638,362.116434405053,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"MSV000092754","metabolite",26,1,0.757,3,0.909,-40.8,"[M + H]+",NA,TRUE,"standard",201.11,362.116105935406,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"MSV000092754","metabolite",27,1,0.904,3,0.861,-74,"[M + H]+",NA,TRUE,"standard",241.606,362.116387338388,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"MSV000092754","metabolite",28,1,0.962,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"MSV000092754","metabolite",29,1,0.907,3,0.902,-37,"[M + H]+",NA,TRUE,"standard",232.881,362.116286480795,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
