"role","xcms_fts","rt","mz","adduct_inferred","file"
"parent",1,212.683,346.121525998551,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"parent",2,210.82,346.121612548828,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"parent",3,208.984,346.121423776955,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"parent",4,213.131,346.12168259103,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"parent",5,202.241,346.121520996094,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"parent",6,211.797,346.121398925781,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"parent",7,202.665,346.121551513672,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"metabolite",1,111.332,362.116199562346,"[M+H]+","pos_inf_prog_10199_Female_68_267_R_A8.mzXML"
"parent",8,179.129,346.121612548828,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"parent",9,202.59,346.121317253714,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"parent",10,184.187,346.121551513672,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"parent",11,202.973,346.12158203125,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"parent",12,213.427,346.121551513672,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"metabolite",2,195.855,362.116311580717,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"metabolite",3,207.29,362.116663582679,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"metabolite",4,234.802,362.11637707669,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"metabolite",5,246.777,362.116142380323,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"metabolite",6,184.283,362.116227548757,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"metabolite",7,199.552,362.116280132345,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"metabolite",8,231.989,362.115938052624,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"metabolite",9,242.7,362.116190159506,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"metabolite",10,194.764,362.116326959146,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"metabolite",11,206.226,362.116051148578,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"metabolite",12,246.456,362.116157028898,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"metabolite",13,191.28,362.116253029732,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"metabolite",14,204.356,362.116475374369,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"metabolite",15,234.11,362.116177809733,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"metabolite",16,245.049,362.116287473066,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"metabolite",17,196.435,362.116394811586,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"metabolite",18,247.245,362.11615372326,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"metabolite",19,186.059,362.11638729247,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"metabolite",20,200.462,362.116360205988,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"metabolite",21,232.766,362.116282901436,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"metabolite",22,243.093,362.116176299141,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"metabolite",23,192.937,362.116380659964,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"metabolite",24,244.961,362.116226737767,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"metabolite",25,185.638,362.116434405053,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"metabolite",26,201.11,362.116105935406,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"metabolite",27,241.606,362.116387338388,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"metabolite",28,187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"metabolite",29,232.881,362.116286480795,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
"metabolite",30,243.917,362.116412149301,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
