"role","xcms_fts","rt","mz","adduct_inferred","file"
"parent",1,86.938374,368.104114818734,"[M+Na]+","106_p.mzML"
"parent",2,86.080164,368.103888941615,"[M+Na]+","126_p.mzML"
"parent",3,85.186584,346.121950523926,"[M+H]+","129_p.mzML"
"parent",4,88.347702,346.121815436672,"[M+H]+","47_p.mzML"
"parent",5,89.91825,346.121856689453,"[M+H]+","63_p.mzML"
"parent",6,88.774476,346.121826171875,"[M+H]+","69_p.mzML"
"parent",7,94.348512,346.122022097105,"[M+H]+","8POS_p.mzML"
"parent",8,89.897592,346.122252229338,"[M+H]+","DA21_p.mzML"
"parent",9,89.746206,346.121887207031,"[M+H]+","DA4_p.mzML"
"parent",10,97.263972,346.122100830078,"[M+H]+","DA5_p.mzML"
"parent",11,97.281816,346.121903806451,"[M+H]+","DA7_p.mzML"
"parent",12,88.070826,346.121917724609,"[M+H]+","DA8_p.mzML"
"parent",13,86.689518,346.121948242188,"[M+H]+","DA9_p.mzML"
"parent",14,86.22105,368.104176528739,"[M+Na]+","RIA1_p.mzML"
"parent",15,87.41568,346.122009277344,"[M+H]+","RIA2_p.mzML"
"parent",16,86.63115,368.104009287928,"[M+Na]+","DA20_p.mzML"
"parent",17,91.38021,368.10395760281,"[M+Na]+","DA24_p.mzML"
"parent",18,87.424068,368.104078773186,"[M+Na]+","DA25_p.mzML"
"parent",19,89.57934,368.103797751521,"[M+Na]+","DA41_p.mzML"
"parent",20,86.043588,368.103820800781,"[M+Na]+","DA42_p.mzML"
"parent",21,85.107666,346.121842744095,"[M+H]+","DA44_p.mzML"
"parent",22,86.417514,368.10386541589,"[M+Na]+","21NEG_p.mzML"
"parent",23,87.148746,368.10393661707,"[M+Na]+","29NEG_p.mzML"
"parent",24,89.319,368.103842021933,"[M+Na]+","30NEG_p.mzML"
"metabolite",1,83.887284,362.116760253906,"[M+H]+","126_p.mzML"
"metabolite",2,84.965712,362.116705308058,"[M+H]+","129_p.mzML"
"metabolite",3,85.716834,362.116760253906,"[M+H]+","DA5_p.mzML"
