"role","xcms_fts","rt","mz","adduct_inferred","file"
"parent",1,40.85735572698,344.108367919922,"[M-H]-","D106_NEG.mzML"
"parent",2,39.64107958302,344.108001708984,"[M-H]-","D41_NEG.mzML"
"parent",3,41.06685007998,344.10791015625,"[M-H]-","D55_NEG.mzML"
"parent",4,39.694417599,344.107849121094,"[M-H]-","D82_NEG.mzML"
"parent",5,39.98167641402,344.108154296875,"[M-H]-","NHF24_NEG.mzML"
"parent",6,40.321200048,344.107757568359,"[M-H]-","NHF45_NEG.mzML"
"parent",7,39.89800075098,346.123016357422,"[M+H]+","D106_POS.mzML"
"parent",8,38.60936999898,346.122924804688,"[M+H]+","D41_POS.mzML"
"parent",9,39.64272924702,346.122894287109,"[M+H]+","D55_POS.mzML"
"parent",10,39.58310633502,346.122985839844,"[M+H]+","D82_POS.mzML"
"parent",11,37.36593676602,346.120758056641,"[M+H]+","D8_POS.mzML"
"parent",12,40.27298187198,346.123107910156,"[M+H]+","NHF104_POS.mzML"
"parent",13,39.775885311,346.123199462891,"[M+H]+","NHF24_POS.mzML"
"parent",14,40.677908511,346.123443603516,"[M+H]+","NHF45_POS.mzML"
"parent",15,40.12322537598,346.123107910156,"[M+H]+","NHF78_POS.mzML"
"parent",16,508.185351135,344.107543945313,"[M-H]-","D_106NEG.mzML"
"parent",17,509.517683937,344.107360839844,"[M-H]-","D_125NEG.mzML"
"parent",18,509.05476481398,344.107269287109,"[M-H]-","D_134NEG.mzML"
"parent",19,506.45786591802,344.107666015625,"[M-H]-","D_41NEG.mzML"
"parent",20,506.99486575998,344.107513427734,"[M-H]-","D_55NEG.mzML"
"parent",21,507.72324791898,344.108459472656,"[M-H]-","D_82NEG.mzML"
"parent",22,508.34870664,344.107421875,"[M-H]-","NHF_104NEG.mzML"
"parent",23,509.388254001,344.107940673828,"[M-H]-","NHF_24NEG.mzML"
"parent",24,511.074543489,344.108123779297,"[M-H]-","NHF_45NEG.mzML"
"parent",25,508.94202054402,346.122650146484,"[M+H]+","D_106.mzML"
"parent",26,509.46779143998,346.122406005859,"[M+H]+","D_134.mzML"
"parent",27,511.23038387202,346.121917724609,"[M+H]+","D_177.mzML"
"parent",28,509.53773688002,346.121704101563,"[M+H]+","D_19.mzML"
"parent",29,507.33395609598,346.122344970703,"[M+H]+","D_41.mzML"
"parent",30,514.93988700702,346.122222900391,"[M+H]+","D_55.mzML"
"parent",31,514.162789647,346.122467041016,"[M+H]+","D_82.mzML"
"parent",32,511.25764478202,346.121856689453,"[M+H]+","NHF_24.mzML"
"parent",33,506.15549054202,346.122436523438,"[M+H]+","NHF_45.mzML"
"parent",34,507.57724505598,346.122100830078,"[M+H]+","NHF_5.mzML"
"metabolite",1,481.12697996802,362.117156982422,"[M+H]+","D_41.mzML"
"metabolite",2,483.45308990202,362.116912841797,"[M+H]+","D_55.mzML"
"metabolite",3,482.49899911998,362.117248535156,"[M+H]+","D_82.mzML"
"metabolite",4,480.335824911,362.116943359375,"[M+H]+","NHF_24.mzML"
"metabolite",5,482.75402454198,362.117095947266,"[M+H]+","NHF_45.mzML"
